Estado,Setor,Ano,CO2
AC,Agropecuária,1990,"5668645,681065876"
AC,Agropecuária,1991,"5883165,867229755"
AC,Agropecuária,1992,"5934655,838577482"
AC,Agropecuária,1993,"6435449,8719951175"
AC,Agropecuária,1994,"6804699,567367379"
AC,Agropecuária,1995,"6949523,341369608"
AC,Agropecuária,1996,"9439072,72264912"
AC,Agropecuária,1997,"9639813,775445925"
AC,Agropecuária,1998,"10135220,851109099"
AC,Agropecuária,1999,"10585773,33064323"
AC,Agropecuária,2000,"11552567,178307343"
AC,Agropecuária,2001,"16495813,939920314"
AC,Agropecuária,2002,"17038707,076735713"
AC,Agropecuária,2003,"17449725,481761422"
AC,Agropecuária,2004,"18907505,782729838"
AC,Agropecuária,2005,"20601200,083647802"
AC,Agropecuária,2006,"22009928,817138597"
AC,Agropecuária,2007,"20786776,639380433"
AC,Agropecuária,2008,"21725667,636902083"
AC,Agropecuária,2009,"22131726,968785565"
AC,Agropecuária,2010,"22690981,780580245"
AC,Agropecuária,2011,"21686271,654574"
AC,Agropecuária,2012,"22362291,334800567"
AC,Agropecuária,2013,"22542540,680997238"
AC,Agropecuária,2014,"23121559,314902965"
AC,Agropecuária,2015,"24001971,092637487"
AC,Agropecuária,2016,"24723372,31197244"
AC,Agropecuária,2017,"23969626,567838475"
AC,Agropecuária,2018,"26916738,208166648"
AC,Agropecuária,2019,"28683353,265861914"
AC,Agropecuária,2020,"31057783,724593475"
AC,Agropecuária,2021,"32962173,722149543"
AL,Agropecuária,1990,"21919870,173157666"
AL,Agropecuária,1991,"22773504,98943688"
AL,Agropecuária,1992,"21766447,688258573"
AL,Agropecuária,1993,"18954883,486265782"
AL,Agropecuária,1994,"21385438,798194036"
AL,Agropecuária,1995,"21727774,6791279"
AL,Agropecuária,1996,"21092493,467262737"
AL,Agropecuária,1997,"22692762,363821786"
AL,Agropecuária,1998,"21838891,585260432"
AL,Agropecuária,1999,"20995754,879783712"
AL,Agropecuária,2000,"20929367,128719985"
AL,Agropecuária,2001,"21678269,944789484"
AL,Agropecuária,2002,"22027988,489206325"
AL,Agropecuária,2003,"22127114,608139798"
AL,Agropecuária,2004,"22998600,93190951"
AL,Agropecuária,2005,"23191855,8356641"
AL,Agropecuária,2006,"22893469,74826595"
AL,Agropecuária,2007,"22656838,186032526"
AL,Agropecuária,2008,"21921331,703045145"
AL,Agropecuária,2009,"22013513,843545035"
AL,Agropecuária,2010,"23249235,0748368"
AL,Agropecuária,2011,"24268503,07538009"
AL,Agropecuária,2012,"24113448,218517523"
AL,Agropecuária,2013,"24947083,24240896"
AL,Agropecuária,2014,"25811888,73584494"
AL,Agropecuária,2015,"24841732,946155444"
AL,Agropecuária,2016,"24071324,93669546"
AL,Agropecuária,2017,"24705739,391484205"
AL,Agropecuária,2018,"24322535,564610437"
AL,Agropecuária,2019,"23575107,33529617"
AL,Agropecuária,2020,"24346860,787263177"
AL,Agropecuária,2021,"24826951,060209587"
AM,Agropecuária,1990,"9001288,906093644"
AM,Agropecuária,1991,"8935830,640445072"
AM,Agropecuária,1992,"9146842,85170659"
AM,Agropecuária,1993,"10065685,138342492"
AM,Agropecuária,1994,"10792580,039141728"
AM,Agropecuária,1995,"11273067,143336385"
AM,Agropecuária,1996,"10632423,139895212"
AM,Agropecuária,1997,"11509068,293386504"
AM,Agropecuária,1998,"12748738,740078364"
AM,Agropecuária,1999,"13309021,290582037"
AM,Agropecuária,2000,"13261399,256635355"
AM,Agropecuária,2001,"13204396,612731155"
AM,Agropecuária,2002,"13083541,053656043"
